Type,Name,Price,Sold,Link
Harga Termurah,Daun Pisang Segar Langsung Dari Pohonnya - 1 ikat,Rp8.000,0 terjual,https://www.tokopedia.com/bakulsayur3/daun-pisang-segar-langsung-dari-pohonnya-1-ikat-4f626?src=topads
Terjual Terbanyak,ARIANI1318 DAUN PISANG ARTIFICIAL IMPOR MURAH HOME DEKORASI,Rp97.010,500+ terjual,https://www.tokopedia.com/131830/ariani1318-daun-pisang-artificial-impor-murah-home-dekorasi-pot18-pisang-18?extParam=ivf%3Dfalse%26keyword%3Dpisang%26search_id%3D20250602044841577BCC914F9E55275AMJ%26src%3Dsearch
